Community,Most Frequent Crime,total_crimes,total_primary_types,primary_type Rate
ALBANY PARK,THEFT,12779,0,0.0
ARCHER HEIGHTS,THEFT,5095,0,0.0
ARMOUR SQUARE,THEFT,5971,0,0.0
ASHBURN,THEFT,12383,0,0.0
AUBURN GRESHAM,BATTERY,38415,0,0.0
AUSTIN,BATTERY,74363,0,0.0
AVALON PARK,BATTERY,6870,0,0.0
AVONDALE,THEFT,11667,0,0.0
BELMONT CRAGIN,BATTERY,24681,0,0.0
BEVERLY,THEFT,5162,0,0.0
BRIDGEPORT,THEFT,8458,0,0.0
BRIGHTON PARK,BATTERY,11995,0,0.0
BURNSIDE,BATTERY,1972,0,0.0
CALUMET HEIGHTS,THEFT,7947,0,0.0
CHATHAM,BATTERY,34829,0,0.0
CHICAGO LAWN,BATTERY,29518,0,0.0
CLEARING,THEFT,5859,0,0.0
DOUGLAS,THEFT,15457,0,0.0
DUNNING,THEFT,8905,0,0.0
EAST GARFIELD PARK,BATTERY,23192,0,0.0
EAST SIDE,BATTERY,6641,0,0.0
EDGEWATER,THEFT,16218,0,0.0
EDISON PARK,DECEPTIVE PRACTICE,1560,0,0.0
ENGLEWOOD,BATTERY,30042,0,0.0
FOREST GLEN,THEFT,3017,0,0.0
FULLER PARK,BATTERY,4091,0,0.0
GAGE PARK,BATTERY,11945,0,0.0
GARFIELD RIDGE,THEFT,11118,0,0.0
GRAND BOULEVARD,BATTERY,19401,0,0.0
GREATER GRAND CROSSING,BATTERY,36444,0,0.0
HEGEWISCH,BATTERY,3666,0,0.0
HERMOSA,BATTERY,7860,0,0.0
HUMBOLDT PARK,BATTERY,39276,0,0.0
HYDE PARK,THEFT,11298,0,0.0
IRVING PARK,THEFT,14457,0,0.0
JEFFERSON PARK,THEFT,5811,0,0.0
KENWOOD,THEFT,9379,0,0.0
LAKE VIEW,THEFT,32358,0,0.0
LINCOLN PARK,THEFT,20636,0,0.0
LINCOLN SQUARE,THEFT,11100,0,0.0
LOGAN SQUARE,THEFT,25724,0,0.0
LOOP,THEFT,45251,0,0.0
LOWER WEST SIDE,THEFT,15054,0,0.0
MCKINLEY PARK,THEFT,4953,0,0.0
MONTCLARE,THEFT,3543,0,0.0
MORGAN PARK,THEFT,10638,0,0.0
MOUNT GREENWOOD,THEFT,2987,0,0.0
NEAR NORTH SIDE,THEFT,58528,0,0.0
NEAR SOUTH SIDE,THEFT,12487,0,0.0
NEAR WEST SIDE,THEFT,51197,0,0.0
NEW CITY,BATTERY,22959,0,0.0
NORTH CENTER,THEFT,7232,0,0.0
NORTH LAWNDALE,BATTERY,41387,0,0.0
NORTH PARK,THEFT,5002,0,0.0
NORWOOD PARK,THEFT,6856,0,0.0
OAKLAND,BATTERY,4293,0,0.0
OHARE,THEFT,9060,0,0.0
PORTAGE PARK,THEFT,17139,0,0.0
PULLMAN,THEFT,5969,0,0.0
RIVERDALE,BATTERY,7110,0,0.0
ROGERS PARK,THEFT,22759,0,0.0
ROSELAND,BATTERY,34511,0,0.0
SOUTH CHICAGO,BATTERY,23291,0,0.0
SOUTH DEERING,THEFT,10300,0,0.0
SOUTH LAWNDALE,BATTERY,23093,0,0.0
SOUTH SHORE,BATTERY,47864,0,0.0
UPTOWN,THEFT,21366,0,0.0
WASHINGTON HEIGHTS,BATTERY,17073,0,0.0
WASHINGTON PARK,BATTERY,13059,0,0.0
WEST ELSDON,THEFT,5117,0,0.0
WEST ENGLEWOOD,BATTERY,30587,0,0.0
WEST GARFIELD PARK,BATTERY,26294,0,0.0
WEST LAWN,THEFT,9308,0,0.0
WEST PULLMAN,BATTERY,21227,0,0.0
WEST RIDGE,THEFT,20482,0,0.0
WEST TOWN,THEFT,39384,0,0.0
WOODLAWN,BATTERY,19372,0,0.0
